kommune_nr,fylke,kommune,population,edr_homes,households,share_urban,area_km2,urban_area,pop_urban,share_urban2,centrality,ave_income,muni_net,muni_debt,muni_free_rev,employment,virksomheter,op_hq
101,Østfold,Halden,31177,14984,14865,0.866457555,595.35,16.08,27084,0.868717324,843,406200,3.7,125.2,53048,58.7,957,1
104,Østfold,Moss,32726,14791,15346,0.982150101,58.01,13.48,32218,0.984477174,932,434200,1.7,105.8,52751,60.5,1148,0
105,Østfold,Sarpsborg,55997,24706,25077,0.908156244,369.77,27.08,50977,0.91035234,887,410000,1.5,103.3,53207,60.1,1796,0
106,Østfold,Fredrikstad,81772,35547,36905,0.92505275,283.77,40.53,75674,0.925426796,884,427200,0.4,102.6,51253,61.4,2732,0
111,Østfold,Hvaler,4599,2119,2144,0.5261916,90.06,2.48,2818,0.6127419,725,471100,2.4,123.5,53745,59.1,166,0
118,Østfold,Aremark,1357,708,615,0.238700565,281.94,0,0,0,660,422700,4,116.5,71113,63.5,55,0
119,Østfold,Marker,3592,1746,1680,0.49255441,367.67,1.71,1848,0.514476615,742,412000,2.9,72.2,57949,63.8,141,0
121,Østfold,Rømskog,673,350,318,0,158.89,0,0,0,667,447400,-7.5,62.9,83207,69.8,37,0
122,Østfold,Trøgstad,5347,2392,2445,0.536789298,187.68,2.83,3057,0.571722461,799,422900,-1.6,97.5,57347,65.8,208,0
123,Østfold,Spydeberg,6042,2614,2627,0.719372129,133.48,2.88,4593,0.760178749,865,444800,-1.2,94.3,34663,66.4,232,0
124,Østfold,Askim,15865,6929,7149,0.900548499,66.07,7.52,14488,0.913205169,893,416900,2.1,94.5,53570,60.9,573,0
125,Østfold,Eidsberg,11424,4959,5240,0.684146833,228.77,5.74,7848,0.68697479,853,410800,0.8,93.7,55265,62.8,444,0
127,Østfold,Skiptvet,3797,1548,1600,0.47606727,93.04,1.15,1720,0.452989202,789,419800,1.2,38,56954,67,117,0
128,Østfold,Rakkestad,8230,3717,3635,0.596448749,420.66,3.84,5053,0.613973269,794,437400,3.5,102,57730,64.4,334,0
135,Østfold,Råde,7542,3096,3195,0.739172592,105.35,5.01,5750,0.762397242,838,441800,1.8,102.5,52450,65.4,284,0
136,Østfold,Rygge,16145,6961,7044,0.890101997,69.74,8.75,14683,0.909445649,890,453200,0.6,105.1,51499,63.9,586,1
137,Østfold,Våler (Østfold),5593,2212,2307,0.564195298,238.88,2.22,3778,0.675487216,822,457800,-0.1,63.1,51043,69.2,139,0
138,Østfold,Hobøl,5642,2412,2450,0.647863957,139.39,2.22,3995,0.70808224,845,439400,-0.7,54.1,35775,69.5,143,0
211,Akershus,Vestby,17824,6972,7396,0.807890961,133.65,7.81,15044,0.844030521,880,492500,5.5,140.9,52782,67.4,666,0
213,Akershus,Ski,30843,12201,12640,0.88746824,161.71,11.88,27660,0.896799922,914,502200,1,142.9,54829,68.7,1097,0
214,Akershus,Ås,20335,8739,9629,0.871610024,101.26,8.77,17152,0.843471847,899,448100,1.2,132.5,50655,67.7,695,1
215,Akershus,Frogn,15761,6598,7001,0.871324644,84.69,6.1,13393,0.849755726,906,538800,0.5,139.8,53968,67.2,586,0
216,Akershus,Nesodden,19488,7376,8100,0.87079718,60.75,9.13,17374,0.891522989,855,503300,3.2,87.8,51763,68.5,474,0
217,Akershus,Oppegård,27394,11226,11254,0.982095136,34.27,10.25,26927,0.982952471,929,554200,1,99.6,55877,68.8,833,0
219,Akershus,Bærum,126841,50825,53245,0.987840151,188.76,47.71,125386,0.988528946,971,642500,5.3,60.7,61758,69.9,4813,1
220,Akershus,Asker,61523,23992,25036,0.975950317,96.84,32.89,60485,0.983128261,936,601400,3.8,108.7,60402,69.1,2184,0
221,Akershus,Aurskog-Høland,16500,7438,7354,0.585063359,893.68,7.58,9845,0.596666667,799,424300,1.3,112.9,51974,66.9,496,1
226,Akershus,Sørum,18263,6977,7333,0.791857798,199.93,7.22,15022,0.822537371,869,487500,1,165.6,53438,71.4,489,0
227,Akershus,Fet,11842,4588,4789,0.760462075,137.91,4.69,9254,0.781455835,880,500200,-1.5,146.9,51867,71.2,299,0
228,Akershus,Rælingen,18161,7335,7659,0.959776384,56.44,5.91,17497,0.963438137,942,492400,3.4,138.4,51855,70.9,323,0
229,Akershus,Enebakk,11026,4149,4506,0.782734507,195.45,4.47,8680,0.787230183,817,455700,0.2,148,51650,68,281,0
