knr,year_support
1424,2014
1428,2014
1027,2014
1027,2014
1421,2014
1418,2014
1438,2014
1443,2014
1003,2014
1003,2014
1429,2014
1401,2014
1432,2014
919,2014
1430,2014
1445,2014
1571,2014
1826,2014
1444,2014
1416,2014
1413,2014
1422,2014
1419,2014
5042,2014
1029,2014
2014,2014
1426,2014
1032,2014
1021,2014
1021,2014
1256,2014
5005,2014
1805,2014
1433,2014
819,2014
538,2014
441,2014
2020,2014
2020,2014
632,2014
1441,2014
1046,2014
1420,2014
1001,2014
1018,2014
1412,2014
1848,2014
5004,2014
1449,2014
1134,2014
833,2014
1902,2014
5033,2014
912,2014
1860,2014
1417,2014
619,2015
1026,2015
1264,2015
1418,2015
821,2015
1429,2015
1432,2015
5048,2015
1430,2015
1557,2015
1445,2015
1444,2015
1416,2015
5053,2015
935,2015
1431,2015
1422,2015
926,2015
1426,2015
1266,2015
2018,2015
5028,2015
1433,2015
418,2015
5021,2015
2020,2015
412,2015
121,2015
1923,2015
822,2015
1573,2015
1420,2015
1412,2015
1017,2015
5004,2015
1449,2015
515,2015
1865,2015
1439,2015
1815,2015
912,2015
1014,2015
919,2016
912,2016
904,2016
919,2016
814,2016
1922,2016
1853,2016
2004,2016
1903,2016
5046,2016
829,2016
5037,2016
1263,2016
830,2016
2019,2016
2020,2016
1812,2016
540,2016
417,2016
5004,2016
428,2016
428,2016
1511,2016
1034,2016
1014,2016
5050,2016
1160,2016
834,2016
