knr,knr_old,Navn,basic_2001,100S_2013,100A_2013
101,101,Halden,0.136177408,0,0.581056729
104,104,Moss,0.367373534,0.056680752,0.521054932
105,105,Sarpsborg,0.547135005,0.121768825,0.844990058
106,106,Fredrikstad,0.420315506,0.401836969,0.825984423
111,111,Hvaler,0,0,0
118,118,Aremark,0,0,0
119,119,Marker,0,0,0
121,121,Rømskog,0,0,0
122,122,Trøgstad,0,0,0.15173913
123,123,Spydeberg,0.84505988,0,0.620258813
124,124,Askim,0.976377953,0.34023166,0.84030888
125,125,Eidsberg,0.623807045,0.008920801,0.514360313
127,127,Skiptvet,0,0.343365253,0.343365253
128,128,Rakkestad,0,0,0.304895505
135,135,Råde,0,0,0.423156444
136,136,Rygge,0.570163229,0.038833387,0.10763777
137,137,Våler (Østf.),0,0,0
138,138,Hobøl,0,0.003411306,0.193957115
211,211,Vestby,0.784806385,0.148954259,0.384118347
213,213,Ski,0.819595861,0.048949189,0.79373947
214,214,Ås,0.573465067,0,0.424928367
215,215,Frogn,0,0,0.295539944
216,216,Nesodden,0.652578519,0,0.770667068
217,217,Oppegård,0.967159409,0.101703211,0.929620204
219,219,Bærum,0.751169333,0.21035175,0.935890722
220,220,Asker,0.717724289,0.020038965,0.766629557
221,221,Aurskog-Høland,0,0,0
226,226,Sørum,0.332921747,0,0.535371901
227,227,Fet,0.819959082,0,0.171258907
228,228,Rælingen,0.662136832,0,0.877068914
229,229,Enebakk,0.367636451,0.062272963,0.330565646
230,230,Lørenskog,0.621903613,0.126141928,0.743404224
231,231,Skedsmo,0.789442442,0.082556199,0.926671248
233,233,Nittedal,0.964519241,0.064984985,0.758438438
234,234,Gjerdrum,0.827338129,0,0
235,235,Ullensaker,0.608541189,0,0.636268344
236,236,Nes (Ak.),0,0.002638206,0.347763521
237,237,Eidsvoll,0.57310691,0,0.396737244
238,238,Nannestad,0.281496881,0,0
239,239,Hurdal,0,0,0
301,301,Oslo kommune,0.816361234,0.146708982,0.94782968
402,402,Kongsvinger,0.37478975,0,0.587939698
403,403,Hamar,0.54911229,0,0.774845178
412,412,Ringsaker,0.339188937,0,0.456208968
415,415,Løten,0,0,0.475872093
417,417,Stange,0.345524437,0,0.235521236
418,418,Nord-Odal,0,0,0
419,419,Sør-Odal,0,0,0.145794393
420,420,Eidskog,0,0,0.144695543
423,423,Grue,0,0,0
425,425,Åsnes,0,0,0
426,426,Våler (Hedm.),0,0,0
427,427,Elverum,0.557511851,0,0.567559121
428,428,Trysil,0,0,0.003139269
429,429,Åmot,0,0,0.311603651
430,430,Stor-Elvdal,0,0,0
432,432,Rendalen,0,0,0
434,434,Engerdal,0,0,0
436,436,Tolga,0,0,0
437,437,Tynset,0,0.001507159,0.366239638
438,438,Alvdal,0,0,0
439,439,Folldal,0,0,0
441,441,Os (Hedm.),0.447663296,0.81390593,0.81390593
501,501,Lillehammer,0,0,0.71513462
502,502,Gjøvik,0,0,0.531920845
511,511,Dovre,0,0,0
512,512,Lesja,0,0,0
513,513,Skjåk,0,0,0.099033816
514,514,Lom,0,0,0.105882353
515,515,Vågå,0,0,0.001630435
516,516,Nord-Fron,0,0,0.045232672
517,517,Sel,0,0,0.125
519,519,Sør-Fron,0,0,0
520,520,Ringebu,0,0,0.095624718
521,521,Øyer,0,0,0.174845164
522,522,Gausdal,0,0,0.303030303
528,528,Østre Toten,0,0,0.143517139
529,529,Vestre Toten,0.597898758,0,0.026153846
532,532,Jevnaker,0.768087215,0.523995734,0.700675435
533,533,Lunner,0,0.560383898,0.560383898
534,534,Gran,0,0.39767518,0.39767518
536,536,Søndre Land,0,0,0.002739726
538,538,Nordre Land,0,0,0.060950714
540,540,Sør-Aurdal,0,0,0
541,541,Etnedal,0,0,0.055345912
542,542,Nord-Aurdal,0,0,0.118707272
543,543,Vestre Slidre,0,0,0
544,544,Øystre Slidre,0,0,0.073284477
